EP, 02, 1956053000,   ,chunshu,   0, 159N, 1040W,  45,     , TS
EP, 02, 1956053006,   ,chunshu,   0, 158N, 1045W,  45,     , TS
EP, 02, 1956053012,   ,chunshu,   0, 157N, 1051W,  45,     , TS
EP, 02, 1956053018,   ,chunshu,   0, 157N, 1056W,  45,     , TS
EP, 02, 1956053100,   ,chunshu,   0, 157N, 1061W,  45,     , TS
EP, 02, 1956053106,   ,chunshu,   0, 157N, 1067W,  45,     , TS
EP, 02, 1956053112,   ,chunshu,   0, 157N, 1073W,  45,     , TS
EP, 02, 1956053118,   ,chunshu,   0, 157N, 1078W,  45,     , TS
EP, 02, 1956060100,   ,chunshu,   0, 157N, 1082W,  45,     , TS
EP, 02, 1956060106,   ,chunshu,   0, 157N, 1088W,  45,     , TS
EP, 02, 1956060112,   ,chunshu,   0, 158N, 1093W,  45,     , TS
EP, 02, 1956060118,   ,chunshu,   0, 158N, 1101W,  45,     , TS
EP, 02, 1956060200,   ,chunshu,   0, 158N, 1108W,  45,     , TS
EP, 02, 1956060206,   ,chunshu,   0, 160N, 1115W,  45,     , TS
EP, 02, 1956060212,   ,chunshu,   0, 162N, 1121W,  45,     , TS
EP, 02, 1956060218,   ,chunshu,   0, 164N, 1130W,  45,     , TS
EP, 02, 1956060300,   ,chunshu,   0, 167N, 1139W,  45,     , TS
EP, 02, 1956060306,   ,chunshu,   0, 172N, 1150W,  45,     , TS
EP, 02, 1956060312,   ,chunshu,   0, 179N, 1160W,  45,     , TS
