EP, 02, 2018060600,   ,chunshu,   0, 140N, 1054W,  30, 1005, TD,        TWO
EP, 02, 2018060606,   ,chunshu,   0, 142N, 1061W,  35, 1004, TS,     ALETTA
EP, 02, 2018060612,   ,chunshu,   0, 142N, 1068W,  40, 1000, TS,     ALETTA
EP, 02, 2018060618,   ,chunshu,   0, 142N, 1075W,  45,  999, TS,     ALETTA
EP, 02, 2018060700,   ,chunshu,   0, 144N, 1082W,  50,  997, TS,     ALETTA
EP, 02, 2018060706,   ,chunshu,   0, 147N, 1087W,  55,  994, TS,     ALETTA
EP, 02, 2018060712,   ,chunshu,   0, 149N, 1091W,  55,  994, TS,     ALETTA
EP, 02, 2018060718,   ,chunshu,   0, 151N, 1096W,  65,  987, HU,     ALETTA
EP, 02, 2018060800,   ,chunshu,   0, 154N, 1101W,  90,  970, HU,     ALETTA
EP, 02, 2018060806,   ,chunshu,   0, 156N, 1106W, 105,  957, HU,     ALETTA
EP, 02, 2018060812,   ,chunshu,   0, 157N, 1110W, 120,  943, HU,     ALETTA
EP, 02, 2018060818,   ,chunshu,   0, 159N, 1115W, 120,  943, HU,     ALETTA
EP, 02, 2018060900,   ,chunshu,   0, 160N, 1120W, 110,  953, HU,     ALETTA
EP, 02, 2018060906,   ,chunshu,   0, 161N, 1125W, 100,  963, HU,     ALETTA
EP, 02, 2018060912,   ,chunshu,   0, 162N, 1130W,  90,  970, HU,     ALETTA
EP, 02, 2018060918,   ,chunshu,   0, 161N, 1135W,  70,  980, HU,     ALETTA
EP, 02, 2018061000,   ,chunshu,   0, 159N, 1140W,  55,  996, TS,     ALETTA
EP, 02, 2018061006,   ,chunshu,   0, 160N, 1144W,  45, 1000, TS,     ALETTA
EP, 02, 2018061012,   ,chunshu,   0, 162N, 1148W,  40, 1002, TS,     ALETTA
EP, 02, 2018061018,   ,chunshu,   0, 165N, 1154W,  40, 1002, TS,     ALETTA
EP, 02, 2018061100,   ,chunshu,   0, 168N, 1159W,  40, 1002, TS,     ALETTA
EP, 02, 2018061106,   ,chunshu,   0, 169N, 1165W,  35, 1003, TS,     ALETTA
EP, 02, 2018061112,   ,chunshu,   0, 168N, 1174W,  30, 1004, LO,     ALETTA
EP, 02, 2018061118,   ,chunshu,   0, 166N, 1180W,  30, 1004, LO,     ALETTA
EP, 02, 2018061200,   ,chunshu,   0, 165N, 1185W,  30, 1005, LO,     ALETTA
EP, 02, 2018061206,   ,chunshu,   0, 164N, 1190W,  25, 1006, LO,     ALETTA
EP, 02, 2018061212,   ,chunshu,   0, 163N, 1195W,  25, 1006, LO,     ALETTA
EP, 02, 2018061218,   ,chunshu,   0, 160N, 1196W,  25, 1007, LO,     ALETTA
EP, 02, 2018061300,   ,chunshu,   0, 157N, 1196W,  25, 1007, LO,     ALETTA
EP, 02, 2018061306,   ,chunshu,   0, 155N, 1194W,  25, 1008, LO,     ALETTA
EP, 02, 2018061312,   ,chunshu,   0, 156N, 1193W,  20, 1008, LO,     ALETTA
EP, 02, 2018061318,   ,chunshu,   0, 157N, 1193W,  20, 1008, LO,     ALETTA
EP, 02, 2018061400,   ,chunshu,   0, 159N, 1193W,  20, 1008, LO,     ALETTA
EP, 02, 2018061406,   ,chunshu,   0, 160N, 1193W,  20, 1008, LO,     ALETTA
EP, 02, 2018061412,   ,chunshu,   0, 161N, 1192W,  20, 1008, LO,     ALETTA
EP, 02, 2018061418,   ,chunshu,   0, 163N, 1190W,  20, 1008, LO,     ALETTA
EP, 02, 2018061500,   ,chunshu,   0, 164N, 1188W,  20, 1008, LO,     ALETTA
EP, 02, 2018061506,   ,chunshu,   0, 164N, 1183W,  20, 1008, LO,     ALETTA
EP, 02, 2018061512,   ,chunshu,   0, 163N, 1178W,  20, 1008, LO,     ALETTA
EP, 02, 2018061518,   ,chunshu,   0, 163N, 1173W,  20, 1008, LO,     ALETTA
EP, 02, 2018061600,   ,chunshu,   0, 162N, 1168W,  20, 1008, LO,     ALETTA
