EP, 04, 1967070600,   ,chunshu,   0, 102N,  963W,  25,     , TD
EP, 04, 1967070606,   ,chunshu,   0, 107N,  977W,  25,     , TD
EP, 04, 1967070612,   ,chunshu,   0, 111N,  991W,  25,     , TD
EP, 04, 1967070618,   ,chunshu,   0, 116N, 1007W,  25,     , TD
EP, 04, 1967070700,   ,chunshu,   0, 120N, 1023W,  25,     , TD
EP, 04, 1967070706,   ,chunshu,   0, 123N, 1035W,  25,     , TD
EP, 04, 1967070712,   ,chunshu,   0, 125N, 1048W,  25,     , TD
EP, 04, 1967070718,   ,chunshu,   0, 128N, 1061W,  25,     , TD
EP, 04, 1967070800,   ,chunshu,   0, 131N, 1074W,  25,     , TD
EP, 04, 1967070806,   ,chunshu,   0, 135N, 1086W,  25,     , TD
EP, 04, 1967070812,   ,chunshu,   0, 140N, 1098W,  25,     , TD
EP, 04, 1967070818,   ,chunshu,   0, 146N, 1111W,  25,     , TD
EP, 04, 1967070900,   ,chunshu,   0, 152N, 1124W,  40,     , TS
EP, 04, 1967070906,   ,chunshu,   0, 154N, 1130W,  45,     , TS
EP, 04, 1967070912,   ,chunshu,   0, 156N, 1137W,  45,     , TS
EP, 04, 1967070918,   ,chunshu,   0, 160N, 1146W,  45,     , TS
EP, 04, 1967071000,   ,chunshu,   0, 163N, 1155W,  45,     , TS
EP, 04, 1967071006,   ,chunshu,   0, 166N, 1170W,  45,     , TS
EP, 04, 1967071012,   ,chunshu,   0, 168N, 1185W,  45,     , TS
EP, 04, 1967071018,   ,chunshu,   0, 169N, 1194W,  45,     , TS
EP, 04, 1967071100,   ,chunshu,   0, 169N, 1203W,  45,     , TS
EP, 04, 1967071106,   ,chunshu,   0, 169N, 1216W,  45,     , TS
EP, 04, 1967071112,   ,chunshu,   0, 169N, 1229W,  45,     , TS
EP, 04, 1967071118,   ,chunshu,   0, 169N, 1243W,  45,     , TS
EP, 04, 1967071200,   ,chunshu,   0, 169N, 1256W,  45,     , TS
EP, 04, 1967071206,   ,chunshu,   0, 169N, 1268W,  45,     , TS
EP, 04, 1967071212,   ,chunshu,   0, 169N, 1280W,  45,     , TS
EP, 04, 1967071218,   ,chunshu,   0, 169N, 1292W,  45,     , TS
EP, 04, 1967071300,   ,chunshu,   0, 169N, 1305W,  45,     , TS
EP, 04, 1967071306,   ,chunshu,   0, 169N, 1320W,  45,     , TS
EP, 04, 1967071312,   ,chunshu,   0, 170N, 1336W,  45,     , TS
EP, 04, 1967071318,   ,chunshu,   0, 170N, 1354W,  45,     , TS
EP, 04, 1967071400,   ,chunshu,   0, 168N, 1374W,  45,     , TS
EP, 04, 1967071406,   ,chunshu,   0, 166N, 1395W,  45,     , TS
EP, 04, 1967071412,   ,chunshu,   0, 163N, 1416W,  45,     , TS
EP, 04, 1967071418,   ,chunshu,   0, 161N, 1440W,  45,     , TS
EP, 04, 1967071500,   ,chunshu,   0, 160N, 1464W,  45,     , TS
EP, 04, 1967071506,   ,chunshu,   0, 160N, 1482W,  25,     , TD
EP, 04, 1967071512,   ,chunshu,   0, 160N, 1495W,  25,     , TD
EP, 04, 1967071518,   ,chunshu,   0, 160N, 1508W,  25,     , TD
EP, 04, 1967071600,   ,chunshu,   0, 160N, 1520W,  25,     , TD
EP, 04, 1967071606,   ,chunshu,   0, 160N, 1540W,  25,     , TD
EP, 04, 1967071612,   ,chunshu,   0, 160N, 1560W,  25,     , TD
EP, 04, 1967071618,   ,chunshu,   0, 160N, 1580W,  25,     , TD
EP, 04, 1967071700,   ,chunshu,   0, 160N, 1600W,  25,     , TD
EP, 04, 1967071706,   ,chunshu,   0, 160N, 1618W,  25,     , TD
EP, 04, 1967071712,   ,chunshu,   0, 160N, 1635W,  25,     , TD
EP, 04, 1967071718,   ,chunshu,   0, 160N, 1652W,  25,     , TD
EP, 04, 1967071800,   ,chunshu,   0, 160N, 1670W,  25,     , TD
