EP, 08, 1958090612,   ,chunshu,   0, 181N, 1119W,  75,     , HU
EP, 08, 1958090618,   ,chunshu,   0, 184N, 1126W,  75,     , HU
EP, 08, 1958090700,   ,chunshu,   0, 186N, 1133W,  75,     , HU
EP, 08, 1958090706,   ,chunshu,   0, 188N, 1140W,  75,     , HU
EP, 08, 1958090712,   ,chunshu,   0, 189N, 1147W,  75,     , HU
EP, 08, 1958090718,   ,chunshu,   0, 190N, 1154W,  75,     , HU
EP, 08, 1958090800,   ,chunshu,   0, 190N, 1162W,  75,     , HU
EP, 08, 1958090806,   ,chunshu,   0, 190N, 1167W,  75,     , HU
EP, 08, 1958090812,   ,chunshu,   0, 190N, 1172W,  75,     , HU
EP, 08, 1958090818,   ,chunshu,   0, 191N, 1176W,  90,     , HU
EP, 08, 1958090900,   ,chunshu,   0, 192N, 1181W,  75,     , HU
EP, 08, 1958090906,   ,chunshu,   0, 192N, 1186W,  75,     , HU
EP, 08, 1958090912,   ,chunshu,   0, 192N, 1191W,  75,     , HU
EP, 08, 1958090918,   ,chunshu,   0, 191N, 1196W,  75,     , HU
EP, 08, 1958091000,   ,chunshu,   0, 191N, 1200W,  75,     , HU
EP, 08, 1958091006,   ,chunshu,   0, 191N, 1205W,  75,     , HU
EP, 08, 1958091012,   ,chunshu,   0, 190N, 1210W,  75,     , HU
EP, 08, 1958091018,   ,chunshu,   0, 189N, 1216W,  75,     , HU
EP, 08, 1958091100,   ,chunshu,   0, 188N, 1222W,  75,     , HU
EP, 08, 1958091106,   ,chunshu,   0, 186N, 1231W,  75,     , HU
EP, 08, 1958091112,   ,chunshu,   0, 184N, 1239W,  75,     , HU
EP, 08, 1958091118,   ,chunshu,   0, 182N, 1247W,  75,     , HU
EP, 08, 1958091200,   ,chunshu,   0, 181N, 1255W,  75,     , HU
EP, 08, 1958091206,   ,chunshu,   0, 180N, 1262W,  75,     , HU
EP, 08, 1958091212,   ,chunshu,   0, 180N, 1269W,  75,     , HU
EP, 08, 1958091218,   ,chunshu,   0, 178N, 1275W,  75,     , HU
EP, 08, 1958091300,   ,chunshu,   0, 175N, 1281W,  75,     , HU
