EP, 08, 1994080306,   ,chunshu,   0, 111N, 1400W,  25,     , TD,         LI
EP, 08, 1994080312,   ,chunshu,   0, 110N, 1408W,  30,     , TD,         LI
EP, 08, 1994080318,   ,chunshu,   0, 109N, 1420W,  25,     , TD,         LI
EP, 08, 1994080400,   ,chunshu,   0, 107N, 1435W,  25,     , TD,         LI
EP, 08, 1994080406,   ,chunshu,   0, 105N, 1451W,  25,     , TD,         LI
EP, 08, 1994080412,   ,chunshu,   0, 103N, 1464W,  25,     , TD,         LI
EP, 08, 1994080418,   ,chunshu,   0, 101N, 1478W,  25,     , TD,         LI
EP, 08, 1994080500,   ,chunshu,   0,  97N, 1492W,  25,     , TD,         LI
EP, 08, 1994080506,   ,chunshu,   0,  97N, 1509W,  25,     , TD,         LI
EP, 08, 1994080512,   ,chunshu,   0,  99N, 1527W,  25,     , TD,         LI
EP, 08, 1994080518,   ,chunshu,   0, 105N, 1542W,  25,     , TD,         LI
EP, 08, 1994080600,   ,chunshu,   0, 110N, 1553W,  25,     , TD,         LI
EP, 08, 1994080606,   ,chunshu,   0, 116N, 1559W,  25,     , TD,         LI
EP, 08, 1994080612,   ,chunshu,   0, 122N, 1565W,  25,     , TD,         LI
EP, 08, 1994080618,   ,chunshu,   0, 126N, 1575W,  25,     , TD,         LI
EP, 08, 1994080700,   ,chunshu,   0, 130N, 1584W,  25,     , TD,         LI
EP, 08, 1994080706,   ,chunshu,   0, 134N, 1592W,  25,     , TD,         LI
EP, 08, 1994080712,   ,chunshu,   0, 135N, 1600W,  25,     , TD,         LI
EP, 08, 1994080718,   ,chunshu,   0, 135N, 1612W,  25,     , TD,         LI
EP, 08, 1994080800,   ,chunshu,   0, 135N, 1623W,  25,     , TD,         LI
EP, 08, 1994080806,   ,chunshu,   0, 135N, 1635W,  30,     , TD,         LI
EP, 08, 1994080812,   ,chunshu,   0, 135N, 1648W,  40,     , TS,         LI
EP, 08, 1994080818,   ,chunshu,   0, 135N, 1663W,  45,     , TS,         LI
EP, 08, 1994080900,   ,chunshu,   0, 136N, 1675W,  50,     , TS,         LI
EP, 08, 1994080906,   ,chunshu,   0, 136N, 1682W,  50,     , TS,         LI
EP, 08, 1994080912,   ,chunshu,   0, 136N, 1691W,  45,     , TS,         LI
EP, 08, 1994080918,   ,chunshu,   0, 136N, 1700W,  45,     , TS,         LI
EP, 08, 1994081000,   ,chunshu,   0, 135N, 1710W,  45,     , TS,         LI
EP, 08, 1994081006,   ,chunshu,   0, 136N, 1716W,  45,     , TS,         LI
EP, 08, 1994081012,   ,chunshu,   0, 137N, 1722W,  45,     , TS,         LI
EP, 08, 1994081018,   ,chunshu,   0, 139N, 1727W,  50,     , TS,         LI
EP, 08, 1994081100,   ,chunshu,   0, 139N, 1733W,  50,     , TS,         LI
EP, 08, 1994081106,   ,chunshu,   0, 138N, 1742W,  45,     , TS,         LI
EP, 08, 1994081112,   ,chunshu,   0, 136N, 1751W,  45,     , TS,         LI
EP, 08, 1994081118,   ,chunshu,   0, 133N, 1760W,  50,     , TS,         LI
EP, 08, 1994081200,   ,chunshu,   0, 130N, 1769W,  55,     , TS,         LI
EP, 08, 1994081206,   ,chunshu,   0, 127N, 1779W,  60,     , TS,         LI
EP, 08, 1994081212,   ,chunshu,   0, 126N, 1789W,  65,     , HU,         LI
EP, 08, 1994081218,   ,chunshu,   0, 126N, 1799W,  60,     , TS,         LI
EP, 08, 1994081300,   ,chunshu,   0, 129N, 1789E,  55,     , TS,         LI
EP, 08, 1994081306,   ,chunshu,   0, 133N, 1779E,  50,     , TS,         LI
EP, 08, 1994081312,   ,chunshu,   0, 138N, 1770E,  45,     , TS,         LI
EP, 08, 1994081318,   ,chunshu,   0, 142N, 1761E,  40,     , TS,         LI
EP, 08, 1994081400,   ,chunshu,   0, 147N, 1751E,  40,     , TS,         LI
EP, 08, 1994081406,   ,chunshu,   0, 151N, 1742E,  35,     , TS,         LI
EP, 08, 1994081412,   ,chunshu,   0, 156N, 1733E,  35,     , TS,         LI
EP, 08, 1994081418,   ,chunshu,   0, 160N, 1725E,  35,     , TS,         LI
EP, 08, 1994081500,   ,chunshu,   0, 165N, 1717E,  35,     , TS,         LI
EP, 08, 1994081506,   ,chunshu,   0, 170N, 1709E,  35,     , TS,         LI
EP, 08, 1994081512,   ,chunshu,   0, 175N, 1703E,  35,     , TS,         LI
EP, 08, 1994081518,   ,chunshu,   0, 179N, 1698E,  30,     , TD,         LI
EP, 08, 1994081600,   ,chunshu,   0, 181N, 1695E,  30,     , TD,         LI
EP, 08, 1994081606,   ,chunshu,   0, 183N, 1692E,  30,     , TD,         LI
EP, 08, 1994081612,   ,chunshu,   0, 185N, 1690E,  25,     , TD,         LI
EP, 08, 1994081618,   ,chunshu,   0, 187N, 1689E,  25,     , TD,         LI
EP, 08, 1994081700,   ,chunshu,   0, 188N, 1688E,  25,     , TD,         LI
EP, 08, 1994081706,   ,chunshu,   0, 190N, 1689E,  25,     , TD,         LI
EP, 08, 1994081712,   ,chunshu,   0, 191N, 1692E,  25,     , TD,         LI
EP, 08, 1994081718,   ,chunshu,   0, 192N, 1697E,  25,     , TD,         LI
EP, 08, 1994081800,   ,chunshu,   0, 193N, 1702E,  20,     , TD,         LI
