EP, 10, 1996092718,   ,chunshu,   0, 163N, 1100W,  30, 1008, TD,  GENEVIEVE
EP, 10, 1996092800,   ,chunshu,   0, 162N, 1110W,  35, 1005, TS,  GENEVIEVE
EP, 10, 1996092806,   ,chunshu,   0, 159N, 1119W,  40, 1003, TS,  GENEVIEVE
EP, 10, 1996092812,   ,chunshu,   0, 157N, 1127W,  40, 1001, TS,  GENEVIEVE
EP, 10, 1996092818,   ,chunshu,   0, 154N, 1136W,  45, 1000, TS,  GENEVIEVE
EP, 10, 1996092900,   ,chunshu,   0, 152N, 1145W,  45, 1000, TS,  GENEVIEVE
EP, 10, 1996092906,   ,chunshu,   0, 151N, 1152W,  45, 1000, TS,  GENEVIEVE
EP, 10, 1996092912,   ,chunshu,   0, 151N, 1158W,  45,  999, TS,  GENEVIEVE
EP, 10, 1996092918,   ,chunshu,   0, 153N, 1163W,  45, 1000, TS,  GENEVIEVE
EP, 10, 1996093000,   ,chunshu,   0, 155N, 1165W,  45, 1000, TS,  GENEVIEVE
EP, 10, 1996093006,   ,chunshu,   0, 156N, 1166W,  40, 1003, TS,  GENEVIEVE
EP, 10, 1996093012,   ,chunshu,   0, 157N, 1167W,  35, 1005, TS,  GENEVIEVE
EP, 10, 1996093018,   ,chunshu,   0, 158N, 1169W,  35, 1005, TS,  GENEVIEVE
EP, 10, 1996100100,   ,chunshu,   0, 160N, 1170W,  30, 1006, TD,  GENEVIEVE
EP, 10, 1996100106,   ,chunshu,   0, 161N, 1171W,  30, 1007, TD,  GENEVIEVE
EP, 10, 1996100112,   ,chunshu,   0, 162N, 1172W,  30, 1008, TD,  GENEVIEVE
EP, 10, 1996100118,   ,chunshu,   0, 163N, 1174W,  30, 1009, TD,  GENEVIEVE
EP, 10, 1996100200,   ,chunshu,   0, 164N, 1176W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100206,   ,chunshu,   0, 163N, 1181W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100212,   ,chunshu,   0, 159N, 1187W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100218,   ,chunshu,   0, 153N, 1193W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100300,   ,chunshu,   0, 150N, 1200W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100306,   ,chunshu,   0, 151N, 1201W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100312,   ,chunshu,   0, 153N, 1202W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100318,   ,chunshu,   0, 154N, 1201W,  25, 1009, TD,  GENEVIEVE
EP, 10, 1996100400,   ,chunshu,   0, 155N, 1200W,  20, 1010, TD,  GENEVIEVE
EP, 10, 1996100406,   ,chunshu,   0, 155N, 1198W,  20, 1010, TD,  GENEVIEVE
EP, 10, 1996100412,   ,chunshu,   0, 154N, 1197W,  20, 1010, TD,  GENEVIEVE
EP, 10, 1996100418,   ,chunshu,   0, 154N, 1195W,  25, 1010, TD,  GENEVIEVE
EP, 10, 1996100500,   ,chunshu,   0, 153N, 1193W,  30, 1009, TD,  GENEVIEVE
EP, 10, 1996100506,   ,chunshu,   0, 154N, 1190W,  30, 1009, TD,  GENEVIEVE
EP, 10, 1996100512,   ,chunshu,   0, 155N, 1187W,  30, 1009, TD,  GENEVIEVE
EP, 10, 1996100518,   ,chunshu,   0, 156N, 1183W,  30, 1009, TD,  GENEVIEVE
EP, 10, 1996100600,   ,chunshu,   0, 157N, 1180W,  30, 1008, TD,  GENEVIEVE
EP, 10, 1996100606,   ,chunshu,   0, 159N, 1178W,  30, 1007, TD,  GENEVIEVE
EP, 10, 1996100612,   ,chunshu,   0, 161N, 1176W,  30, 1006, TD,  GENEVIEVE
EP, 10, 1996100618,   ,chunshu,   0, 163N, 1175W,  35, 1005, TS,  GENEVIEVE
EP, 10, 1996100700,   ,chunshu,   0, 166N, 1175W,  40, 1005, TS,  GENEVIEVE
EP, 10, 1996100706,   ,chunshu,   0, 168N, 1176W,  40, 1004, TS,  GENEVIEVE
EP, 10, 1996100712,   ,chunshu,   0, 170N, 1177W,  40, 1003, TS,  GENEVIEVE
EP, 10, 1996100718,   ,chunshu,   0, 171N, 1179W,  40, 1003, TS,  GENEVIEVE
EP, 10, 1996100800,   ,chunshu,   0, 170N, 1182W,  35, 1004, TS,  GENEVIEVE
EP, 10, 1996100806,   ,chunshu,   0, 166N, 1186W,  35, 1005, TS,  GENEVIEVE
EP, 10, 1996100812,   ,chunshu,   0, 161N, 1191W,  30, 1006, TD,  GENEVIEVE
EP, 10, 1996100818,   ,chunshu,   0, 154N, 1199W,  25, 1007, TD,  GENEVIEVE
EP, 10, 1996100900,   ,chunshu,   0, 148N, 1208W,  25, 1008, TD,  GENEVIEVE
