EP, 13, 2021082300,   ,chunshu,   0, 196N, 1089W,  35, 1004, TS,     INVEST
EP, 13, 2021082306,   ,chunshu,   0, 200N, 1103W,  35, 1003, TS,      MARTY
EP, 13, 2021082312,   ,chunshu,   0, 205N, 1118W,  40, 1002, TS,      MARTY
EP, 13, 2021082318,   ,chunshu,   0, 207N, 1134W,  40, 1002, TS,      MARTY
EP, 13, 2021082400,   ,chunshu,   0, 207N, 1150W,  35, 1003, TS,      MARTY
EP, 13, 2021082406,   ,chunshu,   0, 206N, 1164W,  30, 1005, LO,      MARTY
EP, 13, 2021082412,   ,chunshu,   0, 206N, 1175W,  30, 1006, LO,      MARTY
EP, 13, 2021082418,   ,chunshu,   0, 205N, 1186W,  30, 1006, LO,      MARTY
EP, 13, 2021082500,   ,chunshu,   0, 205N, 1196W,  30, 1006, LO,      MARTY
EP, 13, 2021082506,   ,chunshu,   0, 205N, 1205W,  30, 1006, LO,      MARTY
EP, 13, 2021082512,   ,chunshu,   0, 206N, 1214W,  25, 1007, LO,      MARTY
EP, 13, 2021082518,   ,chunshu,   0, 206N, 1224W,  25, 1007, LO,      MARTY
EP, 13, 2021082600,   ,chunshu,   0, 207N, 1234W,  25, 1007, LO,      MARTY
EP, 13, 2021082606,   ,chunshu,   0, 207N, 1245W,  25, 1007, LO,      MARTY
EP, 13, 2021082612,   ,chunshu,   0, 206N, 1256W,  25, 1008, LO,      MARTY
EP, 13, 2021082618,   ,chunshu,   0, 205N, 1267W,  25, 1008, LO,      MARTY
EP, 13, 2021082700,   ,chunshu,   0, 202N, 1278W,  25, 1008, LO,      MARTY
EP, 13, 2021082706,   ,chunshu,   0, 197N, 1290W,  25, 1008, LO,      MARTY
