EP, 14, 1988061512,   ,chunshu,   0, 130N, 1120W,  30,     , TD,        ONE
EP, 14, 1988061518,   ,chunshu,   0, 125N, 1124W,  30,     , TD,        ONE
EP, 14, 1988061600,   ,chunshu,   0, 122N, 1130W,  30,     , TD,        ONE
EP, 14, 1988061606,   ,chunshu,   0, 125N, 1135W,  30,     , TD,        ONE
EP, 14, 1988061612,   ,chunshu,   0, 125N, 1135W,  30,     , TD,        ONE
EP, 14, 1988061618,   ,chunshu,   0, 130N, 1135W,  30,     , TD,        ONE
EP, 14, 1988061700,   ,chunshu,   0, 130N, 1145W,  30,     , TD,        ONE
EP, 14, 1988061706,   ,chunshu,   0, 131N, 1144W,  30,     , TD,        ONE
EP, 14, 1988061712,   ,chunshu,   0, 135N, 1155W,  30,     , TD,        ONE
EP, 14, 1988061718,   ,chunshu,   0, 135N, 1155W,  30,     , TD,        ONE
EP, 14, 1988061800,   ,chunshu,   0, 135N, 1155W,  25,     , TD,        ONE
EP, 14, 1988061806,   ,chunshu,   0, 135N, 1150W,  25,     , TD,        ONE
EP, 14, 1988061812,   ,chunshu,   0, 139N, 1139W,  25,     , TD,        ONE
EP, 14, 1988061818,   ,chunshu,   0, 139N, 1130W,  25,     , TD,        ONE
