EP, 20, 1992091312,   ,chunshu,   0, 168N, 1110W,  25, 1010, TD,     ROSLYN
EP, 20, 1992091318,   ,chunshu,   0, 172N, 1112W,  30, 1009, TD,     ROSLYN
EP, 20, 1992091400,   ,chunshu,   0, 175N, 1114W,  30, 1009, TD,     ROSLYN
EP, 20, 1992091406,   ,chunshu,   0, 177N, 1119W,  30, 1008, TD,     ROSLYN
EP, 20, 1992091412,   ,chunshu,   0, 179N, 1123W,  35, 1005, TS,     ROSLYN
EP, 20, 1992091418,   ,chunshu,   0, 180N, 1126W,  50,  997, TS,     ROSLYN
EP, 20, 1992091500,   ,chunshu,   0, 181N, 1128W,  55,  994, TS,     ROSLYN
EP, 20, 1992091506,   ,chunshu,   0, 182N, 1130W,  60,  992, TS,     ROSLYN
EP, 20, 1992091512,   ,chunshu,   0, 183N, 1132W,  60,  992, TS,     ROSLYN
EP, 20, 1992091518,   ,chunshu,   0, 184N, 1135W,  60,  993, TS,     ROSLYN
EP, 20, 1992091600,   ,chunshu,   0, 185N, 1140W,  55,  994, TS,     ROSLYN
EP, 20, 1992091606,   ,chunshu,   0, 187N, 1150W,  55,  994, TS,     ROSLYN
EP, 20, 1992091612,   ,chunshu,   0, 189N, 1164W,  55,  995, TS,     ROSLYN
EP, 20, 1992091618,   ,chunshu,   0, 192N, 1178W,  55,  995, TS,     ROSLYN
EP, 20, 1992091700,   ,chunshu,   0, 195N, 1192W,  55,  995, TS,     ROSLYN
EP, 20, 1992091706,   ,chunshu,   0, 197N, 1206W,  55,  995, TS,     ROSLYN
EP, 20, 1992091712,   ,chunshu,   0, 194N, 1219W,  55,  995, TS,     ROSLYN
EP, 20, 1992091718,   ,chunshu,   0, 192N, 1230W,  55,  995, TS,     ROSLYN
EP, 20, 1992091800,   ,chunshu,   0, 190N, 1241W,  55,  994, TS,     ROSLYN
EP, 20, 1992091806,   ,chunshu,   0, 192N, 1250W,  60,  991, TS,     ROSLYN
EP, 20, 1992091812,   ,chunshu,   0, 193N, 1257W,  60,  991, TS,     ROSLYN
EP, 20, 1992091818,   ,chunshu,   0, 194N, 1263W,  55,  994, TS,     ROSLYN
EP, 20, 1992091900,   ,chunshu,   0, 195N, 1269W,  45, 1000, TS,     ROSLYN
EP, 20, 1992091906,   ,chunshu,   0, 195N, 1275W,  40, 1002, TS,     ROSLYN
EP, 20, 1992091912,   ,chunshu,   0, 195N, 1280W,  45, 1000, TS,     ROSLYN
EP, 20, 1992091918,   ,chunshu,   0, 196N, 1284W,  50,  998, TS,     ROSLYN
EP, 20, 1992092000,   ,chunshu,   0, 197N, 1288W,  45, 1000, TS,     ROSLYN
EP, 20, 1992092006,   ,chunshu,   0, 197N, 1292W,  45, 1000, TS,     ROSLYN
EP, 20, 1992092012,   ,chunshu,   0, 198N, 1295W,  45, 1000, TS,     ROSLYN
EP, 20, 1992092018,   ,chunshu,   0, 197N, 1298W,  45, 1000, TS,     ROSLYN
EP, 20, 1992092100,   ,chunshu,   0, 196N, 1301W,  40, 1002, TS,     ROSLYN
EP, 20, 1992092106,   ,chunshu,   0, 195N, 1304W,  40, 1002, TS,     ROSLYN
EP, 20, 1992092112,   ,chunshu,   0, 194N, 1307W,  40, 1001, TS,     ROSLYN
EP, 20, 1992092118,   ,chunshu,   0, 193N, 1311W,  45, 1000, TS,     ROSLYN
EP, 20, 1992092200,   ,chunshu,   0, 192N, 1315W,  50,  997, TS,     ROSLYN
EP, 20, 1992092206,   ,chunshu,   0, 191N, 1320W,  55,  994, TS,     ROSLYN
EP, 20, 1992092212,   ,chunshu,   0, 190N, 1325W,  60,  990, TS,     ROSLYN
EP, 20, 1992092218,   ,chunshu,   0, 190N, 1330W,  70,  984, HU,     ROSLYN
EP, 20, 1992092300,   ,chunshu,   0, 190N, 1338W,  75,  980, HU,     ROSLYN
EP, 20, 1992092306,   ,chunshu,   0, 189N, 1348W,  85,  975, HU,     ROSLYN
EP, 20, 1992092312,   ,chunshu,   0, 188N, 1359W,  80,  978, HU,     ROSLYN
EP, 20, 1992092318,   ,chunshu,   0, 185N, 1371W,  75,  981, HU,     ROSLYN
EP, 20, 1992092400,   ,chunshu,   0, 183N, 1382W,  65,  985, HU,     ROSLYN
EP, 20, 1992092406,   ,chunshu,   0, 183N, 1393W,  65,  990, HU,     ROSLYN
EP, 20, 1992092412,   ,chunshu,   0, 183N, 1405W,  60,  992, TS,     ROSLYN
EP, 20, 1992092418,   ,chunshu,   0, 182N, 1419W,  55,  994, TS,     ROSLYN
EP, 20, 1992092500,   ,chunshu,   0, 182N, 1432W,  50,  997, TS,     ROSLYN
EP, 20, 1992092506,   ,chunshu,   0, 182N, 1438W,  50,  998, TS,     ROSLYN
EP, 20, 1992092512,   ,chunshu,   0, 184N, 1449W,  45, 1000, TS,     ROSLYN
EP, 20, 1992092518,   ,chunshu,   0, 184N, 1453W,  45, 1001, TS,     ROSLYN
