SH, 15, 2012022812,   ,chunshu,   0, 117S,  694E,  25, 1004, TD
SH, 15, 2012022818,   ,chunshu,   0, 122S,  696E,  25, 1004, TD
SH, 15, 2012022900,   ,chunshu,   0, 125S,  692E,  25, 1004, TD
SH, 15, 2012022906,   ,chunshu,   0, 129S,  684E,  30, 1000, TD,     INVEST
SH, 15, 2012022912,   ,chunshu,   0, 135S,  677E,  30, 1000, TD,     INVEST
SH, 15, 2012022918,   ,chunshu,   0, 139S,  669E,  35,  996, TS,     INVEST
SH, 15, 2012030100,   ,chunshu,   0, 144S,  658E,  35,  996, TS,    FIFTEEN
SH, 15, 2012030106,   ,chunshu,   0, 145S,  648E,  35,  996, TS,    FIFTEEN
SH, 15, 2012030112,   ,chunshu,   0, 148S,  642E,  35,  996, TS,    FIFTEEN
SH, 15, 2012030118,   ,chunshu,   0, 152S,  637E,  30, 1000, TD,    FIFTEEN
SH, 15, 2012030200,   ,chunshu,   0, 157S,  637E,  30, 1000, TD,    FIFTEEN
SH, 15, 2012030206,   ,chunshu,   0, 164S,  636E,  20, 1007, DB,    FIFTEEN
SH, 15, 2012030212,   ,chunshu,   0, 165S,  640E,  20, 1007, DB
