SH, 18, 2013022218,   ,chunshu,   0, 132S,  999E,  20, 1007, DB
SH, 18, 2013022300,   ,chunshu,   0, 129S,  994E,  20, 1007, DB
SH, 18, 2013022306,   ,chunshu,   0, 127S,  988E,  25, 1004, TD
SH, 18, 2013022312,   ,chunshu,   0, 124S,  984E,  25, 1004, TD
SH, 18, 2013022318,   ,chunshu,   0, 115S,  985E,  25, 1004, TD,     INVEST
SH, 18, 2013022400,   ,chunshu,   0, 117S,  988E,  25, 1004, TD,     INVEST
SH, 18, 2013022406,   ,chunshu,   0, 125S,  985E,  25, 1004, TD,     INVEST
SH, 18, 2013022412,   ,chunshu,   0, 127S,  981E,  35,  996, TS,   EIGHTEEN
SH, 18, 2013022418,   ,chunshu,   0, 130S,  979E,  40,  993, TS,   EIGHTEEN
SH, 18, 2013022500,   ,chunshu,   0, 135S,  983E,  40,  993, TS,   EIGHTEEN
SH, 18, 2013022506,   ,chunshu,   0, 141S,  984E,  35,  996, TS,   EIGHTEEN
SH, 18, 2013022512,   ,chunshu,   0, 143S,  984E,  35,  996, TS,   EIGHTEEN
SH, 18, 2013022518,   ,chunshu,   0, 146S,  984E,  35,  996, TS,   EIGHTEEN
SH, 18, 2013022600,   ,chunshu,   0, 148S,  981E,  35,  996, TS,   EIGHTEEN
SH, 18, 2013022606,   ,chunshu,   0, 150S,  979E,  35,  996, TS,   EIGHTEEN
SH, 18, 2013022612,   ,chunshu,   0, 153S,  979E,  30, 1000, TD,   EIGHTEEN
SH, 18, 2013022618,   ,chunshu,   0, 153S,  981E,  30, 1000, TD,   EIGHTEEN
SH, 18, 2013022700,   ,chunshu,   0, 154S,  983E,  30, 1000, TD,   EIGHTEEN
SH, 18, 2013022706,   ,chunshu,   0, 155S,  984E,  30, 1000, TD,   EIGHTEEN
SH, 18, 2013022712,   ,chunshu,   0, 154S,  989E,  25, 1004, TD,   EIGHTEEN
SH, 18, 2013022718,   ,chunshu,   0, 152S,  996E,  20, 1007, DB,   EIGHTEEN
