SH, 18, 2015030912,   ,chunshu,   0, 126S, 1512E,  25, 1004, TD,     INVEST
SH, 18, 2015030918,   ,chunshu,   0, 127S, 1503E,  30, 1000, TD,     INVEST
SH, 18, 2015031000,   ,chunshu,   0, 129S, 1496E,  35,  996, TS,     INVEST
SH, 18, 2015031006,   ,chunshu,   0, 132S, 1488E,  35,  996, TS,     INVEST
SH, 18, 2015031012,   ,chunshu,   0, 134S, 1481E,  40,  993, TS,     INVEST
SH, 18, 2015031018,   ,chunshu,   0, 136S, 1475E,  45,  989, TS,     NATHAN
SH, 18, 2015031100,   ,chunshu,   0, 137S, 1468E,  45,  989, TS,     NATHAN
SH, 18, 2015031106,   ,chunshu,   0, 137S, 1464E,  45,  989, TS,     NATHAN
SH, 18, 2015031112,   ,chunshu,   0, 137S, 1460E,  50,  985, TS,     NATHAN
SH, 18, 2015031118,   ,chunshu,   0, 138S, 1458E,  55,  982, TS,     NATHAN
SH, 18, 2015031121,   ,chunshu,   0, 140S, 1456E,  55,  982, TS,     NATHAN
SH, 18, 2015031200,   ,chunshu,   0, 140S, 1453E,  55,  982, TS,     NATHAN
SH, 18, 2015031206,   ,chunshu,   0, 139S, 1451E,  55,  982, TS,     NATHAN
SH, 18, 2015031212,   ,chunshu,   0, 136S, 1450E,  55,  982, TS,     NATHAN
SH, 18, 2015031218,   ,chunshu,   0, 135S, 1450E,  55,  982, TS,     NATHAN
SH, 18, 2015031300,   ,chunshu,   0, 134S, 1451E,  55,  982, TS,     NATHAN
SH, 18, 2015031306,   ,chunshu,   0, 133S, 1451E,  55,  982, TS,     NATHAN
SH, 18, 2015031312,   ,chunshu,   0, 131S, 1451E,  55,  982, TS,     NATHAN
SH, 18, 2015031318,   ,chunshu,   0, 131S, 1453E,  50,  985, TS,     NATHAN
SH, 18, 2015031400,   ,chunshu,   0, 132S, 1455E,  45,  989, TS
SH, 18, 2015031406,   ,chunshu,   0, 131S, 1462E,  45,  989, TS,     NATHAN
SH, 18, 2015031412,   ,chunshu,   0, 132S, 1469E,  40,  993, TS,     NATHAN
SH, 18, 2015031418,   ,chunshu,   0, 133S, 1475E,  40,  993, TS,     NATHAN
SH, 18, 2015031500,   ,chunshu,   0, 134S, 1485E,  45,  989, TS,     NATHAN
SH, 18, 2015031506,   ,chunshu,   0, 135S, 1491E,  45,  989, TS,     NATHAN
SH, 18, 2015031512,   ,chunshu,   0, 136S, 1495E,  45,  989, TS,     NATHAN
SH, 18, 2015031518,   ,chunshu,   0, 137S, 1497E,  50,  985, TS,     NATHAN
SH, 18, 2015031600,   ,chunshu,   0, 139S, 1499E,  55,  982, TS,     NATHAN
SH, 18, 2015031606,   ,chunshu,   0, 140S, 1499E,  50,  985, TS,     NATHAN
SH, 18, 2015031609,   ,chunshu,   0, 141S, 1499E,  50,  985, TS,     NATHAN
SH, 18, 2015031612,   ,chunshu,   0, 142S, 1498E,  45,  989, TS,     NATHAN
SH, 18, 2015031615,   ,chunshu,   0, 142S, 1497E,  45,  989, TS,     NATHAN
SH, 18, 2015031618,   ,chunshu,   0, 143S, 1496E,  45,  989, TS,     NATHAN
SH, 18, 2015031700,   ,chunshu,   0, 145S, 1497E,  45,  989, TS,     NATHAN
SH, 18, 2015031706,   ,chunshu,   0, 147S, 1497E,  40,  993, TS,     NATHAN
SH, 18, 2015031712,   ,chunshu,   0, 149S, 1497E,  40,  993, TS,     NATHAN
SH, 18, 2015031718,   ,chunshu,   0, 150S, 1494E,  45,  989, TS,     NATHAN
SH, 18, 2015031800,   ,chunshu,   0, 150S, 1492E,  50,  985, TS,     NATHAN
SH, 18, 2015031806,   ,chunshu,   0, 149S, 1491E,  65,  974, TY,     NATHAN
SH, 18, 2015031812,   ,chunshu,   0, 148S, 1488E,  75,  967, TY,     NATHAN
SH, 18, 2015031818,   ,chunshu,   0, 147S, 1481E,  80,  963, TY,     NATHAN
SH, 18, 2015031900,   ,chunshu,   0, 147S, 1474E,  85,  959, TY,     NATHAN
SH, 18, 2015031906,   ,chunshu,   0, 147S, 1469E,  90,  956, TY,     NATHAN
SH, 18, 2015031912,   ,chunshu,   0, 148S, 1460E,  95,  952, TY,     NATHAN
SH, 18, 2015031918,   ,chunshu,   0, 147S, 1451E, 100,  948, TY,     NATHAN
SH, 18, 2015032000,   ,chunshu,   0, 145S, 1442E,  80,  963, TY,     NATHAN
SH, 18, 2015032006,   ,chunshu,   0, 145S, 1432E,  65,  974, TY,     NATHAN
SH, 18, 2015032012,   ,chunshu,   0, 143S, 1423E,  50,  985, TS,     NATHAN
SH, 18, 2015032018,   ,chunshu,   0, 139S, 1413E,  40,  993, TS,     NATHAN
SH, 18, 2015032100,   ,chunshu,   0, 137S, 1402E,  45,  989, TS,     NATHAN
SH, 18, 2015032106,   ,chunshu,   0, 136S, 1393E,  50,  985, TS,     NATHAN
SH, 18, 2015032112,   ,chunshu,   0, 134S, 1384E,  55,  982, TS,     NATHAN
SH, 18, 2015032118,   ,chunshu,   0, 130S, 1376E,  60,  978, TS,     NATHAN
SH, 18, 2015032200,   ,chunshu,   0, 127S, 1368E,  65,  974, TY,     NATHAN
SH, 18, 2015032206,   ,chunshu,   0, 122S, 1360E,  65,  974, TY,     NATHAN
SH, 18, 2015032212,   ,chunshu,   0, 118S, 1357E,  60,  978, TS,     NATHAN
SH, 18, 2015032215,   ,chunshu,   0, 116S, 1355E,  65,  974, TY,     NATHAN
SH, 18, 2015032218,   ,chunshu,   0, 117S, 1352E,  65,  974, TY,     NATHAN
SH, 18, 2015032300,   ,chunshu,   0, 116S, 1347E,  65,  974, TY,     NATHAN
SH, 18, 2015032306,   ,chunshu,   0, 115S, 1344E,  65,  974, TY,     NATHAN
SH, 18, 2015032312,   ,chunshu,   0, 115S, 1338E,  55,  982, TS,     NATHAN
SH, 18, 2015032318,   ,chunshu,   0, 118S, 1334E,  50,  985, TS,     NATHAN
SH, 18, 2015032400,   ,chunshu,   0, 121S, 1329E,  35,  996, TS,     NATHAN
SH, 18, 2015032406,   ,chunshu,   0, 124S, 1324E,  30, 1000, TD,     NATHAN
